|                            Method | MapSize | MapGenAlgo | DistanceCalc | Heuristic |          Mean |         Error |        StdDev |
|                   'GoRogue AStar' |     100 |  CELL AUTO |    CHEBYSHEV |      FAST |   5,381.72 us |    10.9909 us |    10.2809 us |
|           'GoRogue AStar - H,W,T' |     100 |  CELL AUTO |    CHEBYSHEV |      FAST |   2,606.88 us |     6.0595 us |     5.0600 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  CELL AUTO |    CHEBYSHEV |      FAST |   2,585.48 us |     3.1151 us |     2.9139 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  CELL AUTO |    CHEBYSHEV |      FAST |   2,501.71 us |    12.2365 us |    11.4461 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  CELL AUTO |    CHEBYSHEV |      FAST |   3,813.96 us |    22.9701 us |    21.4863 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  CELL AUTO |    CHEBYSHEV |      FAST |   3,121.99 us |     1.7031 us |     1.4221 us |
|                   'GoRogue AStar' |     100 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |   5,648.08 us |    17.3747 us |    14.5086 us |
|           'GoRogue AStar - H,W,T' |     100 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |   4,778.78 us |    38.8048 us |    34.3995 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |   4,870.02 us |    42.3725 us |    39.6353 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |   4,761.07 us |     4.8132 us |     4.0192 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |   7,113.44 us |     0.7361 us |     0.6147 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |   5,871.01 us |    37.7724 us |    35.3323 us |
|                   'GoRogue AStar' |     100 |  CELL AUTO |    EUCLIDEAN |      FAST |   5,664.89 us |    14.6305 us |    12.9696 us |
|           'GoRogue AStar - H,W,T' |     100 |  CELL AUTO |    EUCLIDEAN |      FAST |   3,146.53 us |     8.2848 us |     6.9182 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  CELL AUTO |    EUCLIDEAN |      FAST |   3,181.70 us |    14.7906 us |    12.3508 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  CELL AUTO |    EUCLIDEAN |      FAST |   3,056.12 us |     5.9734 us |     5.5876 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  CELL AUTO |    EUCLIDEAN |      FAST |   4,647.91 us |     1.8208 us |     1.5205 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  CELL AUTO |    EUCLIDEAN |      FAST |   3,887.00 us |    10.7821 us |     9.5581 us |
|                   'GoRogue AStar' |     100 |  CELL AUTO |    MANHATTAN |   DEFAULT |   3,205.41 us |     3.5052 us |     3.1072 us |
|           'GoRogue AStar - H,W,T' |     100 |  CELL AUTO |    MANHATTAN |   DEFAULT |   2,411.35 us |    11.3374 us |    10.6050 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  CELL AUTO |    MANHATTAN |   DEFAULT |   2,397.68 us |     6.5959 us |     6.1698 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  CELL AUTO |    MANHATTAN |   DEFAULT |   2,326.73 us |    13.5113 us |    11.9774 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  CELL AUTO |    MANHATTAN |   DEFAULT |   3,440.03 us |     1.2063 us |     0.9418 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  CELL AUTO |    MANHATTAN |   DEFAULT |   2,846.27 us |     2.6621 us |     2.4901 us |
|                   'GoRogue AStar' |     100 |  CELL AUTO |    MANHATTAN |      FAST |   3,205.71 us |     2.7431 us |     2.5659 us |
|           'GoRogue AStar - H,W,T' |     100 |  CELL AUTO |    MANHATTAN |      FAST |   2,428.22 us |    11.7008 us |    10.9449 us |
|         'GoRogue AStar - H,W,T,D' |     100 |  CELL AUTO |    MANHATTAN |      FAST |   2,397.29 us |    13.7361 us |    12.8488 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 |  CELL AUTO |    MANHATTAN |      FAST |   2,354.54 us |    21.8630 us |    20.4506 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 |  CELL AUTO |    MANHATTAN |      FAST |   3,462.39 us |     0.8287 us |     0.7347 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 |  CELL AUTO |    MANHATTAN |      FAST |   2,819.86 us |     0.9592 us |     0.7489 us |
|                   'GoRogue AStar' |     100 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |   1,012.90 us |     0.9025 us |     0.7536 us |
|           'GoRogue AStar - H,W,T' |     100 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     796.00 us |     0.8072 us |     0.7155 us |
|         'GoRogue AStar - H,W,T,D' |     100 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     706.83 us |     1.7080 us |     1.5977 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     634.97 us |     0.5721 us |     0.5072 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     820.95 us |     0.6364 us |     0.5642 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     727.68 us |     2.2354 us |     1.9816 us |
|                   'GoRogue AStar' |     100 | RAND ROOMS |    CHEBYSHEV |      FAST |   1,011.11 us |     1.7945 us |     1.4985 us |
|           'GoRogue AStar - H,W,T' |     100 | RAND ROOMS |    CHEBYSHEV |      FAST |     624.38 us |     0.3334 us |     0.2603 us |
|         'GoRogue AStar - H,W,T,D' |     100 | RAND ROOMS |    CHEBYSHEV |      FAST |     533.45 us |     0.5763 us |     0.4812 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 | RAND ROOMS |    CHEBYSHEV |      FAST |     458.24 us |     0.8775 us |     0.8208 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 | RAND ROOMS |    CHEBYSHEV |      FAST |     588.15 us |     0.2242 us |     0.1750 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 | RAND ROOMS |    CHEBYSHEV |      FAST |     520.41 us |     2.8636 us |     2.6786 us |
|                   'GoRogue AStar' |     100 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     957.79 us |     2.4110 us |     2.2552 us |
|           'GoRogue AStar - H,W,T' |     100 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     778.55 us |     0.2527 us |     0.1973 us |
|         'GoRogue AStar - H,W,T,D' |     100 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     689.91 us |     1.2547 us |     1.0477 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     614.53 us |     1.7506 us |     1.6375 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     790.88 us |     0.8127 us |     0.6786 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     712.19 us |     0.5698 us |     0.4758 us |
|                   'GoRogue AStar' |     100 | RAND ROOMS |    EUCLIDEAN |      FAST |     943.43 us |     1.4721 us |     1.3050 us |
|           'GoRogue AStar - H,W,T' |     100 | RAND ROOMS |    EUCLIDEAN |      FAST |     639.08 us |     3.1238 us |     2.9220 us |
|         'GoRogue AStar - H,W,T,D' |     100 | RAND ROOMS |    EUCLIDEAN |      FAST |     546.43 us |     0.6716 us |     0.5243 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 | RAND ROOMS |    EUCLIDEAN |      FAST |     465.93 us |     1.2433 us |     1.1021 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 | RAND ROOMS |    EUCLIDEAN |      FAST |     602.00 us |     1.6591 us |     1.3854 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 | RAND ROOMS |    EUCLIDEAN |      FAST |     533.08 us |     0.6184 us |     0.5164 us |
|                   'GoRogue AStar' |     100 | RAND ROOMS |    MANHATTAN |   DEFAULT |     582.42 us |     0.9183 us |     0.8140 us |
|           'GoRogue AStar - H,W,T' |     100 | RAND ROOMS |    MANHATTAN |   DEFAULT |     467.71 us |     2.4855 us |     2.3249 us |
|         'GoRogue AStar - H,W,T,D' |     100 | RAND ROOMS |    MANHATTAN |   DEFAULT |     377.65 us |     0.5465 us |     0.4563 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 | RAND ROOMS |    MANHATTAN |   DEFAULT |     298.52 us |     0.3562 us |     0.2975 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 | RAND ROOMS |    MANHATTAN |   DEFAULT |     406.47 us |     0.2507 us |     0.2093 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 | RAND ROOMS |    MANHATTAN |   DEFAULT |     352.28 us |     1.1285 us |     1.0004 us |
|                   'GoRogue AStar' |     100 | RAND ROOMS |    MANHATTAN |      FAST |     587.62 us |     0.2038 us |     0.1591 us |
|           'GoRogue AStar - H,W,T' |     100 | RAND ROOMS |    MANHATTAN |      FAST |     464.97 us |     0.9429 us |     0.8820 us |
|         'GoRogue AStar - H,W,T,D' |     100 | RAND ROOMS |    MANHATTAN |      FAST |     376.55 us |     0.8407 us |     0.7864 us |
|   'GoRogue AStar - H,W,T,D,Array' |     100 | RAND ROOMS |    MANHATTAN |      FAST |     300.59 us |     0.1481 us |     0.1157 us |
|    'GoRogue AStar - H,W,T,D,Hash' |     100 | RAND ROOMS |    MANHATTAN |      FAST |     406.18 us |     0.4606 us |     0.4308 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |     100 | RAND ROOMS |    MANHATTAN |      FAST |     351.01 us |     0.2425 us |     0.1893 us |
